Id,Predicted
114982,337320.49900037306
95653,522952.1522402811
40303,344527.67578797444
109506,286539.922854831
100149,457762.23543697974
7610,347621.70743286074
61101,299508.01711475826
68167,473959.9317501742
65701,380353.9184366916
56039,239922.02687740672
81919,413700.9966602857
99768,443229.44176631357
124053,667331.0365502543
3942,370652.67892961093
118904,520221.61489166785
30060,376115.16320381785
185729,577901.8335237768
46357,729966.0657644825
20662,405871.77429035364
102274,477115.051585081
53369,203425.84529751583
9719,401637.5435540985
20145,251536.98973623128
159051,593780.2123863284
31481,267131.9435404826
142247,403297.8331153315
29119,341359.3170076286
151448,458002.85907078435
60594,292085.7842385558
83400,481502.10505123984
40168,319352.6819962856
52407,393718.359656024
127232,485542.6731564664
131188,381980.94709998916
952,214474.05103983503
166230,460248.3505237979
144844,396769.9342317602
33207,287217.3665569066
28355,746347.5524905187
179918,691108.3481409919
162451,726506.0127691621
19390,300826.5125469967
114861,440146.8470151529
132259,380414.9591455697
180033,695073.5833157373
97052,481607.4840011053
94224,444691.4662904951
32295,473599.2440699294
171908,763361.3925673073
80236,528054.413187483
156193,468328.76222611027
54494,322883.76097601437
174530,640472.6184395654
143835,339982.62228430744
26275,350730.5182892816
61627,701561.0526171494
49813,282123.4080779505
3466,545818.8970352744
117691,525159.5055345016
132738,572555.2326636583
114211,555476.8443229776
116741,511282.19143653556
39246,340823.6848118317
150011,354618.90253794525
182319,551908.1908541273
32441,342752.50737193495
18842,371339.24344438623
99428,397220.3552270506
96435,434365.26506981713
134803,389831.231779369
171636,587858.1180342995
115944,542042.592215053
149001,511877.99171533086
19084,361965.70675228443
178128,653570.0832201887
74818,369456.40636587836
49603,209589.70276342417
86262,685529.2607024249
14520,315516.2768115138
57209,826370.4695919363
148575,610745.7025957714
33,200365.73626969347
180401,684290.4862080688
87114,497891.92645057617
16450,370388.49168854026
28848,359542.46921001206
11519,254297.96721148922
7202,307698.3185723077
2843,276311.8755773691
156073,481535.18984246824
132217,464283.8349374303
140349,488975.7691887679
34614,358227.42280865356
135594,405351.70110451314
170933,675939.6214146939
62586,411005.7634806036
145868,370884.24353014544
15155,172770.3248036488
61290,276905.8673715706
184569,617885.9847422983
169996,415916.15355400636
7026,403419.5359592077
128356,393152.6008317176
134501,478782.9458144786
163406,579176.5299918234
